tim_1;tim_2;kondisi_team1_player1;kondisi_team1_player2;kondisi_team2_player1;kondisi_team2_player2;score
Moel/Angga;Wirawan/Wawo;Pemulihan;Pemulihan;Sakit;Sakit;'0-2
Wawo/Dennis;Arya/Wirawan;Sehat;Sakit;Cedera;Cedera;'1-2
Wawo/David;Dennis/Moel;Sakit;Sakit;Sakit;Pemulihan;'1-2
Arya/Angga;Moel/Wawo;Pemulihan;Sakit;Sehat;Cedera;'1-2
David/Angga;Arya/Dennis;Sakit;Sehat;Sehat;Sakit;'0-2
Dennis/David;Wawo/Arya;Pemulihan;Cedera;Pemulihan;Sakit;'1-2
Dennis/Moel;Eka/Wawo;Sehat;Sehat;Cedera;Sakit;'2-1
Dennis/Arya;David/Wawo;Sehat;Sakit;Sakit;Cedera;'1-2
Arya/Angga;Moel/David;Sehat;Sehat;Sehat;Sehat;'2-0
Moel/David;Wirawan/Angga;Sehat;Pemulihan;Pemulihan;Pemulihan;'0-2
Wawo/Moel;Angga/Arya;Pemulihan;Sehat;Cedera;Cedera;'2-1
David/Angga;Arya/Wirawan;Sakit;Pemulihan;Sakit;Pemulihan;'2-0
Moel/Angga;Wawo/Eka;Cedera;Cedera;Pemulihan;Cedera;'1-2
Arya/Wirawan;David/Wawo;Pemulihan;Sehat;Sehat;Pemulihan;'2-1
Wirawan/Arya;Angga/Moel;Sehat;Cedera;Sakit;Sehat;'2-0
Arya/David;Wawo/Moel;Sakit;Cedera;Pemulihan;Sehat;'1-2
Moel/Wawo;Wirawan/Eka;Cedera;Pemulihan;Sehat;Pemulihan;'1-2
Dennis/Wawo;Wirawan/Angga;Pemulihan;Sehat;Pemulihan;Cedera;'2-1
Arya/Angga;Eka/Dennis;Sakit;Sehat;Sakit;Pemulihan;'0-2
Dennis/Angga;Arya/Eka;Cedera;Sehat;Sakit;Sakit;'2-0
Moel/Dennis;Eka/David;Sehat;Pemulihan;Cedera;Sakit;'2-0
Wawo/David;Dennis/Moel;Pemulihan;Pemulihan;Sehat;Sakit;'2-0
Dennis/Wirawan;Eka/Angga;Sakit;Sakit;Cedera;Sakit;'1-2
Moel/Wawo;Wirawan/David;Sehat;Pemulihan;Cedera;Sakit;'0-2
Moel/David;Eka/Dennis;Sakit;Pemulihan;Pemulihan;Sakit;'2-0
Dennis/Wirawan;David/Eka;Cedera;Pemulihan;Pemulihan;Sakit;'2-0
David/Wirawan;Dennis/Angga;Sehat;Cedera;Pemulihan;Cedera;'2-1
Arya/Dennis;Eka/Wawo;Sehat;Sakit;Sakit;Sakit;'0-2
Wirawan/Arya;David/Eka;Cedera;Cedera;Pemulihan;Sakit;'2-1
Dennis/Angga;Wawo/Moel;Sakit;Sakit;Pemulihan;Pemulihan;'2-0
Wirawan/Dennis;Arya/Eka;Cedera;Sakit;Cedera;Pemulihan;'0-2
Wirawan/Wawo;Eka/Moel;Cedera;Sehat;Sakit;Cedera;'2-1
Moel/Eka;Dennis/Wawo;Pemulihan;Sehat;Sakit;Sehat;'0-2
Arya/Angga;Moel/Wirawan;Sehat;Cedera;Cedera;Sehat;'2-0
Arya/Eka;Moel/Wirawan;Pemulihan;Sakit;Cedera;Cedera;'2-0
Arya/Dennis;Wirawan/David;Pemulihan;Sehat;Cedera;Sakit;'2-1
Angga/Wirawan;Moel/Dennis;Sehat;Pemulihan;Sehat;Sehat;'1-2
Angga/Moel;David/Wawo;Sehat;Pemulihan;Sehat;Cedera;'1-2
Eka/Wirawan;Dennis/Angga;Sakit;Cedera;Sakit;Pemulihan;'2-1
Moel/Eka;Wawo/Angga;Cedera;Pemulihan;Sakit;Sehat;'1-2
Angga/Eka;Arya/Moel;Sehat;Sakit;Sehat;Pemulihan;'0-2
Eka/Wawo;Dennis/Wirawan;Pemulihan;Sehat;Cedera;Cedera;'0-2
Moel/David;Wawo/Wirawan;Sehat;Sehat;Sakit;Cedera;'0-2
Arya/Eka;Dennis/Wawo;Pemulihan;Cedera;Cedera;Sakit;'2-1
Wawo/Arya;Eka/Moel;Pemulihan;Cedera;Sakit;Pemulihan;'2-0
Wawo/Wirawan;Arya/Eka;Cedera;Cedera;Pemulihan;Cedera;'2-0
Eka/Moel;Dennis/Wirawan;Pemulihan;Sehat;Pemulihan;Pemulihan;'2-0
Wawo/Angga;Moel/Arya;Sehat;Pemulihan;Sehat;Pemulihan;'2-0
David/Dennis;Angga/Eka;Sehat;Sehat;Cedera;Cedera;'1-2
Eka/David;Angga/Moel;Sakit;Cedera;Sakit;Sehat;'0-2
David/Arya;Dennis/Wawo;Pemulihan;Pemulihan;Pemulihan;Sehat;'2-0
Arya/Eka;Moel/Wirawan;Cedera;Cedera;Sakit;Cedera;'2-1
Wirawan/Eka;Angga/Arya;Sehat;Pemulihan;Sehat;Sehat;'1-2
Moel/David;Wirawan/Arya;Sakit;Pemulihan;Pemulihan;Pemulihan;'0-2
Wawo/David;Angga/Arya;Sakit;Sehat;Cedera;Pemulihan;'1-2
Wawo/Arya;Dennis/David;Cedera;Sehat;Pemulihan;Pemulihan;'0-2
Wawo/David;Angga/Arya;Pemulihan;Sakit;Pemulihan;Sehat;'2-0
David/Moel;Wawo/Dennis;Pemulihan;Sakit;Sehat;Pemulihan;'2-0
Wawo/Arya;Dennis/Wirawan;Cedera;Pemulihan;Sakit;Pemulihan;'2-0
Eka/Angga;Arya/Wawo;Sehat;Sehat;Sakit;Cedera;'2-0
Arya/Wirawan;David/Angga;Cedera;Pemulihan;Sakit;Pemulihan;'0-2
Dennis/David;Wirawan/Arya;Sakit;Cedera;Sehat;Cedera;'1-2
Wawo/Wirawan;David/Dennis;Pemulihan;Sakit;Sehat;Pemulihan;'1-2
David/Wawo;Moel/Arya;Sehat;Pemulihan;Sehat;Sakit;'1-2
Moel/Wirawan;Angga/Dennis;Sakit;Pemulihan;Pemulihan;Sakit;'2-0
Wawo/Dennis;David/Moel;Sehat;Pemulihan;Pemulihan;Sakit;'2-0
David/Wawo;Eka/Dennis;Pemulihan;Sakit;Sakit;Sehat;'1-2
Angga/Wawo;Eka/Dennis;Cedera;Sakit;Sehat;Sakit;'1-2
Angga/Wawo;Eka/David;Sakit;Pemulihan;Pemulihan;Sakit;'2-1
Moel/Arya;Dennis/Wirawan;Sakit;Sakit;Cedera;Sakit;'2-0
Angga/Eka;Wawo/Wirawan;Sehat;Cedera;Sakit;Sehat;'2-1
Dennis/Wirawan;Eka/David;Cedera;Cedera;Sehat;Sakit;'1-2
Arya/Wirawan;Dennis/David;Sakit;Cedera;Sehat;Sehat;'0-2
Wirawan/Dennis;Eka/Arya;Sakit;Sakit;Sakit;Cedera;'2-0
Eka/Arya;Angga/Wawo;Pemulihan;Pemulihan;Cedera;Pemulihan;'1-2
David/Arya;Angga/Moel;Pemulihan;Cedera;Sehat;Sakit;'0-2
Wirawan/Arya;Eka/Moel;Cedera;Sehat;Cedera;Sakit;'2-1
Moel/Wirawan;David/Eka;Sehat;Sakit;Pemulihan;Sakit;'2-1
Wawo/Moel;Angga/Arya;Sehat;Sehat;Sakit;Cedera;'1-2
Wirawan/David;Moel/Arya;Pemulihan;Cedera;Sakit;Sakit;'2-0
Wawo/Moel;Wirawan/Arya;Sehat;Cedera;Sakit;Cedera;'2-0
Eka/Arya;Angga/Moel;Cedera;Pemulihan;Sakit;Sakit;'2-1
Wawo/David;Dennis/Moel;Sehat;Sehat;Cedera;Sehat;'0-2
David/Wawo;Dennis/Angga;Sehat;Sehat;Cedera;Cedera;'2-0
David/Angga;Moel/Eka;Cedera;Cedera;Cedera;Sakit;'0-2
Moel/Wawo;David/Angga;Sehat;Sehat;Cedera;Sakit;'2-0
David/Eka;Arya/Dennis;Sakit;Pemulihan;Pemulihan;Sehat;'2-0
Eka/Dennis;Wirawan/Moel;Cedera;Pemulihan;Sehat;Cedera;'2-1
Angga/Wirawan;Wawo/Arya;Pemulihan;Sakit;Sakit;Pemulihan;'0-2
Wawo/Angga;David/Eka;Sakit;Cedera;Cedera;Sehat;'1-2
David/Arya;Angga/Wirawan;Pemulihan;Sakit;Pemulihan;Sehat;'1-2
Moel/David;Angga/Wawo;Sakit;Pemulihan;Sakit;Sakit;'1-2
David/Arya;Angga/Eka;Pemulihan;Sakit;Cedera;Pemulihan;'2-0
Arya/Wirawan;David/Angga;Sakit;Cedera;Sakit;Pemulihan;'2-1
Moel/Wirawan;David/Wawo;Cedera;Sehat;Sehat;Pemulihan;'0-2
Wawo/Dennis;Arya/Moel;Pemulihan;Pemulihan;Pemulihan;Cedera;'1-2
David/Arya;Angga/Eka;Sehat;Cedera;Pemulihan;Sakit;'1-2
David/Moel;Dennis/Wirawan;Pemulihan;Pemulihan;Cedera;Cedera;'2-0
Wawo/Eka;David/Moel;Pemulihan;Sakit;Cedera;Pemulihan;'2-0
Arya/Wawo;Angga/Moel;Sehat;Cedera;Sakit;Cedera;'1-2
Dennis/David;Eka/Arya;Pemulihan;Cedera;Cedera;Cedera;'2-1
Wirawan/David;Dennis/Arya;Sehat;Sakit;Pemulihan;Cedera;'0-2
Arya/Moel;Dennis/Eka;Pemulihan;Pemulihan;Cedera;Sehat;'2-0
Moel/Dennis;Arya/Angga;Cedera;Cedera;Pemulihan;Sakit;'2-0
Wawo/David;Arya/Eka;Cedera;Pemulihan;Pemulihan;Sakit;'1-2
David/Wawo;Eka/Dennis;Sehat;Sakit;Sehat;Pemulihan;'1-2
Moel/Angga;David/Wawo;Sehat;Sehat;Sakit;Sehat;'2-1
David/Wirawan;Angga/Dennis;Sakit;Sakit;Cedera;Pemulihan;'2-0
Wawo/Angga;David/Eka;Sehat;Sehat;Sakit;Pemulihan;'1-2
Moel/Dennis;Wawo/Eka;Sakit;Cedera;Sehat;Cedera;'1-2
David/Angga;Moel/Dennis;Sehat;Cedera;Pemulihan;Pemulihan;'1-2
David/Dennis;Eka/Wirawan;Sakit;Sehat;Sakit;Sehat;'2-1
Dennis/Moel;Arya/Eka;Cedera;Sehat;Sehat;Sakit;'0-2
Wirawan/David;Arya/Dennis;Sehat;Sakit;Cedera;Sakit;'1-2
David/Moel;Eka/Dennis;Sakit;Sehat;Sakit;Sehat;'2-0
David/Wirawan;Dennis/Wawo;Sehat;Pemulihan;Pemulihan;Sakit;'2-0
Wirawan/Wawo;Arya/Angga;Pemulihan;Cedera;Cedera;Pemulihan;'0-2
Wawo/Angga;Eka/Dennis;Sakit;Cedera;Sakit;Pemulihan;'2-0
Arya/Eka;Wawo/Dennis;Cedera;Cedera;Pemulihan;Pemulihan;'2-0
Wawo/Arya;Moel/Dennis;Pemulihan;Sakit;Cedera;Cedera;'2-0
Eka/David;Arya/Dennis;Cedera;Sehat;Cedera;Sehat;'0-2
Angga/David;Arya/Dennis;Cedera;Cedera;Pemulihan;Cedera;'1-2
Dennis/Eka;Moel/Wirawan;Sakit;Sakit;Sakit;Pemulihan;'2-0
Arya/Wawo;Angga/David;Pemulihan;Pemulihan;Pemulihan;Pemulihan;'2-0
Eka/Wirawan;Moel/Dennis;Cedera;Sehat;Sehat;Cedera;'2-1
Angga/Dennis;David/Wawo;Pemulihan;Sakit;Pemulihan;Sakit;'2-1
Angga/David;Dennis/Wirawan;Pemulihan;Pemulihan;Sehat;Cedera;'0-2
Eka/Arya;David/Dennis;Cedera;Cedera;Sehat;Sehat;'1-2
Angga/Dennis;Moel/Eka;Sehat;Cedera;Sehat;Cedera;'0-2
David/Angga;Eka/Wawo;Sakit;Sehat;Sakit;Pemulihan;'0-2
Dennis/David;Angga/Moel;Sehat;Sehat;Cedera;Pemulihan;'0-2
Angga/Wawo;Wirawan/Eka;Sakit;Pemulihan;Pemulihan;Sakit;'2-1
Wawo/Moel;Eka/Angga;Pemulihan;Pemulihan;Sehat;Sehat;'0-2
Arya/Dennis;Angga/David;Cedera;Sakit;Pemulihan;Pemulihan;'2-1
Wawo/Eka;Arya/Wirawan;Sakit;Pemulihan;Sakit;Cedera;'0-2
Dennis/Wirawan;Angga/Wawo;Sehat;Cedera;Sakit;Cedera;'1-2
Angga/David;Dennis/Eka;Cedera;Pemulihan;Sakit;Sakit;'2-1
Angga/Wirawan;Moel/David;Sehat;Sehat;Cedera;Pemulihan;'0-2
Eka/Angga;Arya/Wirawan;Sehat;Pemulihan;Cedera;Sehat;'2-1
Arya/Wawo;Moel/David;Cedera;Pemulihan;Pemulihan;Cedera;'2-1
Moel/Eka;Dennis/David;Sehat;Sehat;Sakit;Pemulihan;'0-2
Eka/Moel;Arya/Angga;Sehat;Sakit;Cedera;Sehat;'1-2
Angga/David;Arya/Wawo;Sakit;Pemulihan;Sakit;Pemulihan;'0-2
Moel/David;Arya/Eka;Pemulihan;Sehat;Pemulihan;Pemulihan;'2-1
Eka/Angga;Wirawan/Wawo;Sakit;Sakit;Cedera;Pemulihan;'0-2
Eka/David;Arya/Wirawan;Sakit;Sehat;Sehat;Sakit;'2-0
Arya/Angga;Wawo/Dennis;Sehat;Pemulihan;Sehat;Cedera;'2-1
Wirawan/Eka;Moel/Arya;Cedera;Cedera;Cedera;Sakit;'0-2
Angga/Arya;Wirawan/Dennis;Sehat;Pemulihan;Sakit;Sehat;'2-1
Wirawan/Wawo;Angga/Dennis;Pemulihan;Sakit;Cedera;Cedera;'1-2
Wirawan/Arya;Dennis/Angga;Sehat;Cedera;Sakit;Sakit;'2-0
Wawo/Dennis;Moel/Wirawan;Pemulihan;Sehat;Pemulihan;Cedera;'0-2
Eka/Dennis;Moel/David;Sakit;Sakit;Pemulihan;Pemulihan;'0-2
Moel/Dennis;Arya/Wawo;Sehat;Cedera;Cedera;Cedera;'2-1
Eka/Arya;Dennis/Moel;Sehat;Cedera;Sehat;Cedera;'2-0
Moel/Dennis;Angga/Arya;Pemulihan;Cedera;Pemulihan;Sakit;'0-2
Arya/David;Wawo/Angga;Cedera;Sehat;Pemulihan;Sakit;'0-2
Arya/Wirawan;David/Eka;Pemulihan;Cedera;Sehat;Sakit;'0-2
Moel/David;Eka/Dennis;Cedera;Pemulihan;Sehat;Cedera;'2-1
Arya/Moel;Dennis/David;Sehat;Cedera;Sakit;Sakit;'2-1
Eka/Dennis;Wirawan/Angga;Cedera;Sehat;Sakit;Sehat;'2-0
Eka/Wirawan;Angga/Moel;Pemulihan;Pemulihan;Cedera;Sehat;'0-2
Eka/Arya;Dennis/David;Cedera;Pemulihan;Sehat;Sakit;'2-1
Wirawan/Wawo;Angga/David;Pemulihan;Sehat;Sakit;Cedera;'2-0
Moel/Wirawan;David/Wawo;Pemulihan;Sakit;Cedera;Cedera;'1-2
Dennis/David;Wirawan/Wawo;Pemulihan;Pemulihan;Pemulihan;Pemulihan;'0-2
David/Arya;Moel/Eka;Pemulihan;Pemulihan;Pemulihan;Cedera;'0-2
David/Moel;Dennis/Eka;Sehat;Sehat;Sehat;Sehat;'0-2
Moel/Arya;Dennis/Wawo;Sakit;Sakit;Sakit;Sakit;'0-2
Angga/Arya;Wirawan/David;Pemulihan;Sakit;Cedera;Sehat;'2-1
Wawo/Eka;Angga/Wirawan;Sakit;Pemulihan;Cedera;Sehat;'2-1
Wirawan/Dennis;Moel/Angga;Pemulihan;Pemulihan;Sakit;Sehat;'2-0
Angga/Eka;Dennis/Arya;Pemulihan;Cedera;Cedera;Cedera;'1-2
Moel/Wawo;Wirawan/David;Sakit;Sehat;Sakit;Pemulihan;'1-2
Eka/Angga;Moel/Arya;Sehat;Pemulihan;Cedera;Pemulihan;'0-2
Arya/David;Eka/Wirawan;Sehat;Cedera;Pemulihan;Sehat;'2-0
Moel/David;Arya/Wirawan;Cedera;Pemulihan;Cedera;Sehat;'2-1
Eka/David;Wawo/Moel;Sehat;Cedera;Sehat;Sehat;'2-1
Angga/Moel;Wawo/Wirawan;Pemulihan;Sehat;Cedera;Cedera;'2-1
Wirawan/Eka;David/Angga;Pemulihan;Sakit;Pemulihan;Pemulihan;'2-1
Wirawan/Eka;Wawo/Arya;Sakit;Cedera;Sehat;Sakit;'2-1
Wawo/Eka;Moel/Dennis;Sakit;Cedera;Cedera;Sakit;'2-1
Eka/Wirawan;Arya/Dennis;Sehat;Pemulihan;Pemulihan;Cedera;'0-2
Eka/Moel;David/Angga;Sakit;Sakit;Cedera;Sehat;'2-0
Angga/Wirawan;Moel/David;Pemulihan;Sehat;Cedera;Sakit;'1-2
Arya/Eka;Wawo/David;Cedera;Sakit;Cedera;Sakit;'0-2
Arya/Wirawan;Angga/Eka;Sakit;Sakit;Pemulihan;Cedera;'1-2
Dennis/Eka;Moel/Wawo;Sehat;Sehat;Pemulihan;Cedera;'2-0
Dennis/Wirawan;Eka/Moel;Sehat;Cedera;Sakit;Cedera;'0-2
Dennis/David;Angga/Wirawan;Sehat;Sakit;Cedera;Cedera;'2-1
Dennis/Arya;Wirawan/Angga;Pemulihan;Sakit;Sehat;Sehat;'0-2
David/Moel;Dennis/Wawo;Sehat;Pemulihan;Pemulihan;Sakit;'2-0
Eka/Wirawan;David/Moel;Pemulihan;Cedera;Pemulihan;Sehat;'2-0
Eka/Arya;David/Wawo;Sakit;Cedera;Sakit;Pemulihan;'0-2
Arya/Angga;Eka/Dennis;Pemulihan;Sakit;Sakit;Sakit;'2-0
Wawo/Eka;Dennis/Moel;Sehat;Cedera;Sehat;Sakit;'0-2
Wirawan/Dennis;David/Arya;Sakit;Pemulihan;Pemulihan;Sehat;'2-0
Wawo/Arya;Eka/Moel;Pemulihan;Sehat;Pemulihan;Sehat;'2-0
Wawo/Angga;Wirawan/Eka;Sehat;Sehat;Cedera;Sakit;'0-2
Eka/Wirawan;Moel/David;Sehat;Sehat;Sehat;Sakit;'0-2
Wawo/David;Arya/Wirawan;Sakit;Pemulihan;Sakit;Sehat;'2-0
Eka/Angga;David/Moel;Sakit;Sakit;Sehat;Pemulihan;'1-2
Wawo/Wirawan;Eka/Moel;Pemulihan;Sehat;Sehat;Sehat;'1-2
David/Arya;Wawo/Angga;Sakit;Cedera;Pemulihan;Pemulihan;'0-2
Wawo/Dennis;David/Arya;Cedera;Sakit;Pemulihan;Cedera;'2-0
Wawo/David;Dennis/Angga;Sehat;Sakit;Sehat;Cedera;'0-2
Eka/Dennis;Arya/David;Pemulihan;Sakit;Cedera;Cedera;'2-1
Wirawan/Wawo;Angga/Eka;Pemulihan;Sakit;Pemulihan;Cedera;'2-0
Angga/Wawo;Arya/Dennis;Pemulihan;Sakit;Cedera;Pemulihan;'1-2
Moel/Arya;Angga/David;Cedera;Sakit;Pemulihan;Cedera;'2-1
Wirawan/Dennis;Wawo/David;Cedera;Sakit;Cedera;Cedera;'1-2
Eka/Moel;Wirawan/Wawo;Sakit;Cedera;Cedera;Sakit;'1-2
David/Moel;Arya/Angga;Sakit;Pemulihan;Sakit;Pemulihan;'0-2
Angga/Eka;Wawo/Moel;Pemulihan;Cedera;Cedera;Sehat;'2-0
David/Dennis;Angga/Wirawan;Sehat;Sehat;Pemulihan;Sakit;'0-2
Moel/David;Arya/Wawo;Sakit;Cedera;Sehat;Cedera;'0-2
Dennis/Arya;Eka/Wirawan;Cedera;Sakit;Sakit;Cedera;'1-2
David/Arya;Moel/Wawo;Sakit;Cedera;Sehat;Sehat;'2-0
Moel/Arya;Dennis/Wawo;Sehat;Pemulihan;Cedera;Cedera;'2-1
Wawo/David;Wirawan/Angga;Sakit;Sakit;Sehat;Cedera;'1-2
Eka/Dennis;Wawo/Moel;Sakit;Cedera;Cedera;Sehat;'0-2
Arya/Wawo;Eka/David;Pemulihan;Sehat;Pemulihan;Cedera;'2-0
Eka/Wawo;Arya/Angga;Pemulihan;Sakit;Sehat;Sakit;'2-1
Eka/Dennis;Wawo/Wirawan;Sakit;Cedera;Pemulihan;Sakit;'0-2
Dennis/Moel;Wawo/Wirawan;Cedera;Cedera;Cedera;Pemulihan;'2-0
David/Angga;Moel/Wawo;Pemulihan;Sakit;Sakit;Pemulihan;'1-2
Wirawan/Eka;Moel/Arya;Cedera;Cedera;Sakit;Cedera;'1-2
Wawo/Eka;Dennis/David;Sakit;Pemulihan;Cedera;Sehat;'2-0
Wawo/Angga;Wirawan/Eka;Pemulihan;Pemulihan;Pemulihan;Pemulihan;'1-2
Arya/Dennis;Eka/Wawo;Cedera;Sakit;Cedera;Pemulihan;'2-0
David/Dennis;Arya/Moel;Cedera;Sehat;Cedera;Cedera;'2-0
Arya/David;Moel/Wawo;Sakit;Sehat;Pemulihan;Sakit;'2-1
Wirawan/Dennis;Moel/Wawo;Sakit;Pemulihan;Cedera;Sehat;'2-0
Dennis/David;Angga/Wawo;Sehat;Sakit;Cedera;Pemulihan;'2-0
Wirawan/Arya;Moel/Wawo;Cedera;Pemulihan;Cedera;Pemulihan;'0-2
Moel/Arya;David/Eka;Sakit;Pemulihan;Pemulihan;Cedera;'0-2
Wirawan/Angga;Arya/Wawo;Cedera;Pemulihan;Pemulihan;Sehat;'1-2
Eka/Dennis;David/Angga;Cedera;Sakit;Sakit;Sakit;'0-2
Arya/Angga;Eka/David;Cedera;Pemulihan;Sakit;Sehat;'0-2
Arya/David;Wirawan/Moel;Pemulihan;Cedera;Sakit;Sehat;'2-0
Eka/Arya;Wirawan/Dennis;Pemulihan;Sakit;Cedera;Sakit;'0-2
Wawo/Arya;Angga/David;Sakit;Cedera;Sakit;Sakit;'0-2
Dennis/Wawo;Arya/Wirawan;Cedera;Pemulihan;Pemulihan;Sakit;'0-2
Eka/Moel;Angga/David;Pemulihan;Sehat;Sehat;Pemulihan;'2-0
Eka/Dennis;Angga/Moel;Sakit;Pemulihan;Sakit;Sehat;'2-1
Angga/David;Wirawan/Wawo;Cedera;Cedera;Cedera;Sehat;'0-2
Wirawan/Dennis;Arya/Moel;Sakit;Cedera;Pemulihan;Sehat;'1-2
Moel/Arya;David/Angga;Sehat;Cedera;Cedera;Sakit;'1-2
Angga/Arya;Wawo/Dennis;Sehat;Sehat;Cedera;Sakit;'1-2
Moel/Wawo;Eka/Arya;Cedera;Cedera;Sakit;Pemulihan;'0-2
David/Wawo;Eka/Dennis;Sakit;Cedera;Sakit;Cedera;'2-1
Arya/Wirawan;Angga/Wawo;Pemulihan;Sakit;Cedera;Cedera;'2-1
Wirawan/David;Arya/Angga;Sehat;Sakit;Pemulihan;Sehat;'0-2
Wirawan/Eka;Moel/Wawo;Sehat;Sakit;Cedera;Pemulihan;'0-2
Dennis/Eka;Angga/Arya;Sakit;Sehat;Sakit;Pemulihan;'2-1
Moel/Wirawan;Wawo/Dennis;Sakit;Cedera;Sehat;Cedera;'2-1
David/Eka;Wirawan/Wawo;Pemulihan;Sehat;Sehat;Sakit;'2-0
Wawo/David;Arya/Moel;Cedera;Sakit;Pemulihan;Sehat;'2-0
Wirawan/Dennis;Arya/Eka;Pemulihan;Sehat;Cedera;Cedera;'0-2
David/Wawo;Eka/Dennis;Pemulihan;Cedera;Pemulihan;Cedera;'2-0
Arya/Dennis;Eka/David;Sehat;Sehat;Sakit;Sakit;'0-2
David/Wawo;Wirawan/Eka;Cedera;Cedera;Sakit;Pemulihan;'0-2
Moel/Eka;Angga/Wawo;Pemulihan;Sehat;Sehat;Sakit;'2-1
Angga/Dennis;Wirawan/Eka;Sakit;Cedera;Cedera;Pemulihan;'2-0
David/Moel;Wirawan/Dennis;Pemulihan;Cedera;Sehat;Sehat;'0-2
Angga/Wirawan;Wawo/Arya;Sehat;Cedera;Cedera;Sehat;'0-2
Dennis/Arya;Moel/Eka;Pemulihan;Sehat;Sakit;Sakit;'2-0
Wirawan/Eka;Dennis/Wawo;Pemulihan;Pemulihan;Pemulihan;Sakit;'2-1
Wirawan/Angga;Dennis/Wawo;Pemulihan;Sakit;Pemulihan;Cedera;'0-2
Eka/Arya;Angga/David;Cedera;Cedera;Sakit;Pemulihan;'1-2
Moel/Wawo;Angga/David;Cedera;Pemulihan;Sakit;Pemulihan;'2-1
Dennis/Angga;Wirawan/Arya;Cedera;Pemulihan;Cedera;Cedera;'2-0
Eka/Arya;Dennis/Angga;Pemulihan;Cedera;Pemulihan;Cedera;'1-2
Wirawan/Angga;Wawo/Eka;Sehat;Sehat;Sakit;Sakit;'0-2
Wirawan/Eka;Wawo/Dennis;Sehat;Sakit;Pemulihan;Sakit;'1-2
Angga/Moel;Wawo/Dennis;Cedera;Sakit;Pemulihan;Sakit;'0-2
Arya/Eka;Moel/David;Pemulihan;Pemulihan;Sakit;Sakit;'2-0
Eka/Arya;Wirawan/Dennis;Sakit;Sehat;Pemulihan;Cedera;'1-2
Wawo/Eka;David/Arya;Pemulihan;Cedera;Sehat;Pemulihan;'0-2
Eka/Angga;Dennis/Wirawan;Sakit;Cedera;Sehat;Pemulihan;'0-2
Dennis/Eka;Arya/Wawo;Pemulihan;Cedera;Cedera;Sehat;'0-2
Wawo/Dennis;Eka/Moel;Pemulihan;Cedera;Cedera;Sehat;'2-0
Angga/David;Wawo/Dennis;Cedera;Sakit;Cedera;Cedera;'1-2
David/Wawo;Dennis/Moel;Cedera;Cedera;Pemulihan;Sehat;'1-2
Wawo/Eka;Dennis/David;Pemulihan;Cedera;Sakit;Cedera;'2-1
Angga/Eka;Dennis/Wawo;Sehat;Sakit;Sakit;Sehat;'0-2
Moel/Arya;Angga/Wirawan;Sakit;Sehat;Pemulihan;Sehat;'0-2
Moel/Wawo;Wirawan/David;Sehat;Cedera;Cedera;Sakit;'2-1
Angga/Wawo;Arya/Dennis;Sakit;Sehat;Cedera;Pemulihan;'2-0
Wawo/Angga;David/Arya;Cedera;Sehat;Cedera;Cedera;'1-2
Wirawan/David;Eka/Angga;Pemulihan;Sehat;Sehat;Pemulihan;'2-1
Eka/Dennis;Moel/Arya;Cedera;Cedera;Sakit;Sehat;'2-0
Wirawan/Wawo;Eka/Dennis;Pemulihan;Sehat;Pemulihan;Sehat;'2-0
Wawo/Eka;Wirawan/Angga;Sehat;Sakit;Sakit;Pemulihan;'2-1
Arya/Wirawan;Angga/Wawo;Cedera;Pemulihan;Pemulihan;Pemulihan;'0-2
Dennis/Wirawan;Wawo/Moel;Pemulihan;Sehat;Cedera;Cedera;'2-0
Arya/Wawo;Wirawan/Moel;Pemulihan;Sehat;Pemulihan;Cedera;'2-1
Dennis/Wawo;Eka/David;Sakit;Cedera;Cedera;Sakit;'1-2
Wirawan/Eka;David/Wawo;Sehat;Cedera;Pemulihan;Sakit;'2-1
Eka/Wawo;David/Angga;Cedera;Pemulihan;Sakit;Cedera;'2-1
David/Wirawan;Moel/Angga;Pemulihan;Sehat;Sehat;Cedera;'2-1
David/Wawo;Arya/Dennis;Pemulihan;Sehat;Pemulihan;Sehat;'1-2
Moel/Dennis;Eka/Wawo;Cedera;Sakit;Sehat;Pemulihan;'2-1
Angga/Eka;Wirawan/Wawo;Pemulihan;Sakit;Pemulihan;Pemulihan;'1-2
Wirawan/Dennis;Moel/David;Cedera;Pemulihan;Sakit;Sakit;'2-0
Eka/Dennis;Wawo/Arya;Sakit;Pemulihan;Sehat;Pemulihan;'1-2
Eka/Angga;Wawo/Moel;Pemulihan;Pemulihan;Cedera;Pemulihan;'2-1
Arya/Angga;Wirawan/David;Sehat;Cedera;Sakit;Pemulihan;'2-0
Eka/Wawo;Arya/Wirawan;Cedera;Pemulihan;Pemulihan;Pemulihan;'0-2
Arya/Eka;Wawo/Angga;Cedera;Pemulihan;Sakit;Pemulihan;'0-2
Arya/David;Moel/Wawo;Pemulihan;Sakit;Cedera;Sehat;'2-1
David/Eka;Wawo/Dennis;Sakit;Cedera;Cedera;Sakit;'0-2
Wirawan/Eka;Wawo/Angga;Cedera;Pemulihan;Sehat;Sehat;'2-1
Eka/Dennis;Arya/Wirawan;Cedera;Sakit;Sehat;Pemulihan;'2-0
Eka/Wawo;Dennis/Angga;Sehat;Sehat;Pemulihan;Sakit;'1-2
Angga/Wawo;Eka/Wirawan;Sehat;Cedera;Cedera;Sakit;'0-2
